Treüge gerßen Zanten,dried zander?,fish,Stück (Piece),7150,492,158,288,,,,,,7150,,,50,,,,,,,,,,,,,,,,,,,
Treüge Aal,dried eel,fish,Stück (Piece),0,0,,0,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,
Treüge Plözen [Plötzen],common roach,fish,Stück (Piece),1920,,180,1260,,,,0,,1920,1080,,,,,,300,,,,,,,,,,,,,,,
Treüge Zögen,?,fish,Stück (Piece),785,,,,,,,,,,,,785,,,,,,,,,,,,,,,,,,,
Rochfisch,,fish,Stück (Piece),15480,15480,390,4080,,,,0,,,,,750,,,,,,,,,,,,,,,,,,,
Rauchfisch,smoked fish,fish,Stück (Piece),9180,,,,,,,0,,9180,,,,,,,,,,,,,,,,,,,,,,
Treüge Neunaugen,dried lamprey,fish,Stück (Piece),2500,0,0,2500,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Kleine runde Zant,small round zander fish? ,fish,,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Treüge Karpffen ,dried carp,fish,Stück (Piece),732,732,135,0,,,,,,79,,,0,,,,,,,,,,,,,,,,,,,
Treüge Schnepeln,dried,fish,Stück (Piece),90,90,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Cittronen [Zittronen],citron,fruit,Stück (Piece),13140,990,132,462,,,,,,13140,638,,30,127,18,,,,,,,,,,,,,,,,,
Pomeranzen,Pomagranates,fruit,Stück (Piece),846,381,65,112,,,,,,846,,,30,75,18,,,,,,,,,,,,,,,,,
Dattelln ,dates,fruit,Pfund (lb),28,,,,,27,,,,28,,,0,,,,,,,,,,,,,,,,,,,
Castanien,chestnuts,nuts/seeds,Pfund (lb),166,0,0,0,,,,60,,,,,,4,2,,,,,,,,166,,,,,,,,,
Mohn,poppy seeds?,nuts/seeds,Scheffel,2,,,,,,,,,,,,,,1,2,0.875,,,,,,,,,,,,,,,
Lemonien / Limonien,lemons,fruit,Stück (Piece),7862,2757,1702,4112,24,7862,700,0,,,1697,,40,60,,175,140,,,,,,,,,,,,,,,
Citternat / CitronathZitternath / Ciccat?,candied lemon peel,confect,Pfund (lb),173.75,1.5,,0,,173.75,,0,,,100,,4,10,,21,15.5,,,,,,,,,,,,,,,
Pienigen / Pienien,pinenuts,nuts/seeds,stof,21,,,,,21,,1.5,,,18,,0,,,,,,,,,,,,,,,,,,,
Pistatien,pistachios,nuts/seeds,Pfund (lb),64,,,,,12,,0,,64,11,,0,,,,,,,,,,,,,,,,,,,
